year,AverageTemperature,Country,Month,Value,GMSL
2006,21.547,Spain,6,360063.336319558,40.8
2007,19.816,Spain,6,367292.283251434,49.1
2008,20.205,Spain,6,335994.803720112,60.1
2009,21.755,Spain,6,296617.991048484,59.6
2010,19.872,Spain,6,283581.400657324,61.8
2011,21.031,Spain,6,283918.679194864,73.2
2012,21.717,Spain,6,279830.308257069,82.4
1990,12.972,Sweden,6,57546.5432515479,0.0
1991,10.448,Sweden,6,57755.634675433,-1.4
1992,14.742,Sweden,6,57482.0646582609,1.0
1993,10.257,Sweden,6,57425.9514469075,4.3
1994,11.118,Sweden,6,59876.998756461,6.4
1995,12.909,Sweden,6,59318.672714076,6.6
1996,11.861,Sweden,6,63238.7859377907,7.1
1997,13.638,Sweden,6,58154.5297192918,22.2
1998,11.447,Sweden,6,58733.4063631372,7.2
1999,13.454,Sweden,6,55861.2192155216,21.3
2000,11.649,Sweden,6,54730.4244140378,25.9
2001,12.607,Sweden,6,55686.7457499206,25.7
2002,14.762,Sweden,6,56631.8961687906,29.2
2003,12.918,Sweden,6,57203.5990740056,40.0
2004,11.634,Sweden,6,56428.8031427144,41.5
2005,12.18,Sweden,6,53859.2057258473,40.0
2006,13.62,Sweden,6,53697.6559330674,40.8
2007,13.85,Sweden,6,52911.7267272877,49.1
2008,12.917,Sweden,6,50831.5768143801,60.1
2009,12.126,Sweden,6,47267.4466673127,59.6
2010,11.792,Sweden,6,53057.7346342268,61.8
2011,14.443,Sweden,6,49133.5869433916,73.2
2012,10.702,Sweden,6,46559.6400230299,82.4
1990,14.002,Switzerland,6,44115.5340859731,0.0
1991,13.425,Switzerland,6,46144.809538993,-1.4
1992,14.034,Switzerland,6,45974.7025405505,1.0
1993,15.297,Switzerland,6,43556.2764199287,4.3
1994,15.34,Switzerland,6,42613.303737038,6.4
1995,13.12,Switzerland,6,43368.4571561622,6.6
1996,15.727,Switzerland,6,44088.3349466694,7.1
1997,14.295,Switzerland,6,42971.6244552183,22.2
1998,15.739,Switzerland,6,44522.3714213249,7.2
1999,14.043,Switzerland,6,44354.5431186679,21.3
2000,16.488,Switzerland,6,43545.9597055165,25.9
2001,14.024,Switzerland,6,45002.2787742299,25.7
2002,17.292,Switzerland,6,43373.9855504706,29.2
2003,20.223,Switzerland,6,44587.9802671018,40.0
2004,15.164,Switzerland,6,45149.667089312,41.5
2005,16.831,Switzerland,6,45778.0894571267,40.0
2006,16.382,Switzerland,6,45351.1719954308,40.8
2007,15.857,Switzerland,6,43360.3856976932,49.1
2008,15.899,Switzerland,6,44676.9439665557,60.1
2009,15.217,Switzerland,6,43509.0865581053,59.6
2010,15.556,Switzerland,6,45027.0644798623,61.8
2011,15.37,Switzerland,6,40973.1491672158,73.2
2012,15.525,Switzerland,6,42241.5536052143,82.4
1990,19.435,Turkey,6,146750.63697943,0.0
1991,20.057,Turkey,6,152335.174224314,-1.4
1992,18.971,Turkey,6,158571.546483621,1.0
1993,19.31,Turkey,6,167443.152055541,4.3
1994,19.867,Turkey,6,164623.553279146,6.4
1995,20.93,Turkey,6,178812.409473623,6.6
1996,19.801,Turkey,6,194751.7794059,7.1
1997,20.078,Turkey,6,208480.069613411,22.2
1998,20.969,Turkey,6,208365.343988278,7.2
1999,20.551,Turkey,6,206388.619824108,21.3
2000,20.265,Turkey,6,232549.18950468,25.9
2001,20.965,Turkey,6,217469.503285608,25.7
2002,20.582,Turkey,6,226365.412047989,29.2
2003,20.691,Turkey,6,240902.462872633,40.0
2004,20.089,Turkey,6,253172.078433031,41.5
2005,19.573,Turkey,6,279130.740814477,40.0
2006,21.675,Turkey,6,302195.954579745,40.8
2007,21.788,Turkey,6,333166.418749646,49.1
2008,21.057,Turkey,6,323536.545145816,60.1
2009,21.267,Turkey,6,310580.701035275,59.6
2010,21.36,Turkey,6,320356.658972933,61.8
2011,20.004,Turkey,6,338094.408177677,73.2
2012,21.947,Turkey,6,363126.007248006,82.4
1990,17.227,Ukraine,6,693024.76655995,0.0
1991,19.138,Ukraine,6,621305.236399432,-1.4
1992,18.462,Ukraine,6,577064.259624575,1.0
1993,17.059,Ukraine,6,498504.838991931,4.3
1994,16.876,Ukraine,6,409721.673978029,6.4
1995,20.189,Ukraine,6,380871.283680675,6.6
1996,18.718,Ukraine,6,344347.189394243,7.1
1997,18.748,Ukraine,6,334208.702214892,22.2
1998,20.188,Ukraine,6,309207.662874893,7.2
1999,21.568,Ukraine,6,284109.569319534,21.3
2000,17.936,Ukraine,6,271429.773920677,25.9
2001,16.936,Ukraine,6,290774.709706588,25.7
2002,18.752,Ukraine,6,281939.349721843,29.2
2003,18.14,Ukraine,6,285720.47993753,40.0
2004,17.347,Ukraine,6,296753.731531998,41.5
2005,17.604,Ukraine,6,307341.483489843,40.0
2006,18.922,Ukraine,6,325586.622022044,40.8
2007,20.665,Ukraine,6,330087.250809744,49.1
2008,18.844,Ukraine,6,317063.843729194,60.1
2009,20.254,Ukraine,6,269598.421828219,59.6
2010,20.993,Ukraine,6,287113.606385185,61.8
2011,20.096,Ukraine,6,301273.502167972,73.2
2012,20.56,Ukraine,6,295706.064347456,82.4
